0,1,2,3,4,5
1606317300000,0.004091,0.004142,0.004077,0.004133,47372888.0
1606318200000,0.004133,0.004151,0.004071,0.004084,65180487.0
1606319100000,0.004089,0.004122,0.004039,0.004103,106020222.0
1606320000000,0.004106,0.004125,0.004065,0.004096,75367563.0
1606320900000,0.004091,0.004116,0.004039,0.004069,78875593.0
1606321800000,0.004066,0.004068,0.004027,0.004051,42843438.0
1606322700000,0.004052,0.00409,0.004005,0.00402,70534627.0
1606323600000,0.004021,0.004046,0.004004,0.004031,50027589.0
1606324500000,0.004032,0.00407,0.004024,0.004027,20448880.0
1606325400000,0.004026,0.004064,0.00401,0.004048,48758045.0
1606326300000,0.004048,0.004059,0.004047,0.004056,8345972.0
1606327200000,0.004055,0.004072,0.004049,0.004064,7718338.0
1606328100000,0.004063,0.004093,0.004057,0.00409,41523761.0
1606329000000,0.004092,0.004095,0.004056,0.004074,29433298.0
1606329900000,0.004075,0.004099,0.004066,0.004073,12354026.0
1606330800000,0.004077,0.004085,0.004047,0.004063,27804484.0
1606331700000,0.004064,0.004142,0.00404,0.004044,60728241.0
1606332600000,0.004044,0.004048,0.003986,0.003986,77029587.0
1606333500000,0.003988,0.003988,0.00391,0.003947,124969130.0
1606334400000,0.003946,0.004011,0.003916,0.003927,80463558.0
1606335300000,0.003927,0.003939,0.003878,0.003904,88334529.0
1606336200000,0.003906,0.003921,0.003728,0.003739,234464462.0
1606337100000,0.003738,0.003841,0.003727,0.003831,93023541.0
1606338000000,0.003829,0.003901,0.003755,0.003896,137926899.0
1606338900000,0.003896,0.003913,0.003863,0.003912,75438253.0
1606339800000,0.00391,0.003931,0.003882,0.003902,70247976.0
1606340700000,0.003903,0.003907,0.003818,0.003873,52598828.0
1606341600000,0.003871,0.003873,0.003768,0.003824,78727513.0
1606342500000,0.003824,0.003829,0.003765,0.003772,23996478.0
1606343400000,0.003772,0.003778,0.003699,0.003712,74481595.0
1606344300000,0.003706,0.003774,0.003672,0.003758,117126616.0
1606345200000,0.003756,0.003756,0.003656,0.003671,79144485.0
1606346100000,0.003672,0.003761,0.003579,0.003752,157614565.0
1606347000000,0.003749,0.003762,0.003725,0.00373,41630163.0
1606347900000,0.003734,0.003753,0.003712,0.003722,44271228.0
1606348800000,0.003723,0.003743,0.003631,0.003736,157735772.0
1606349700000,0.003733,0.003773,0.003717,0.003755,79760155.0
1606350600000,0.003754,0.003786,0.003732,0.003771,76421055.0
1606351500000,0.003773,0.003794,0.003746,0.003767,66117999.0
1606352400000,0.003767,0.003808,0.00373,0.003759,110056556.0
1606353300000,0.003756,0.003771,0.003741,0.00375,35789041.0
1606354200000,0.003747,0.003781,0.003736,0.003778,31056436.0
1606355100000,0.003776,0.003786,0.003735,0.003767,44223800.0
1606356000000,0.00377,0.00377,0.003684,0.00372,86117587.0
1606356900000,0.00372,0.003725,0.003665,0.003696,77251408.0
1606357800000,0.003696,0.003708,0.003658,0.003668,102836858.0
1606358700000,0.003668,0.003697,0.003626,0.003635,141765584.0
1606359600000,0.003632,0.003644,0.003459,0.003532,231500057.0
1606360500000,0.003532,0.003537,0.003419,0.003431,146205133.0
1606361400000,0.003431,0.003431,0.003201,0.003283,311005944.0
1606362300000,0.003284,0.003376,0.003283,0.003336,112530799.0
1606363200000,0.003334,0.00339,0.003239,0.003353,115060172.0
1606364100000,0.003352,0.003409,0.003319,0.003333,146947814.0
1606365000000,0.003329,0.003392,0.003202,0.003223,306014387.0
1606365900000,0.003221,0.003327,0.0032,0.003301,113951246.0
1606366800000,0.003301,0.003374,0.003265,0.003352,72869664.0
1606367700000,0.003352,0.003361,0.003311,0.003316,79599443.0
1606368600000,0.003314,0.003363,0.003301,0.003358,74185525.0
1606369500000,0.003356,0.003371,0.003325,0.003354,42360322.0
1606370400000,0.003352,0.003378,0.003317,0.003376,52518406.0
1606371300000,0.003379,0.003406,0.003363,0.003389,47308542.0
1606372200000,0.00339,0.003391,0.003353,0.003383,41701937.0
1606373100000,0.003382,0.003397,0.003343,0.003387,44069464.0
1606374000000,0.003385,0.003385,0.00334,0.003349,52601633.0
1606374900000,0.003346,0.003385,0.003305,0.003316,84475764.0
1606375800000,0.003316,0.003336,0.003225,0.003297,120479777.0
1606376700000,0.003296,0.003334,0.003235,0.003275,104204991.0
1606377600000,0.003274,0.003275,0.003123,0.003182,292654811.0
1606378500000,0.003181,0.003228,0.003102,0.003144,164916014.0
1606379400000,0.003144,0.003144,0.002943,0.003042,349027793.0
1606380300000,0.003041,0.003075,0.00295,0.003053,208973996.0
1606381200000,0.003053,0.003151,0.003041,0.003143,166040548.0
1606382100000,0.003145,0.003189,0.003116,0.003133,100351869.0
1606383000000,0.003132,0.003173,0.003113,0.003171,100893515.0
1606383900000,0.003175,0.003232,0.003163,0.003215,62710341.0
1606384800000,0.003216,0.003262,0.003203,0.003245,97635579.0
1606385700000,0.003244,0.003283,0.003224,0.003228,58154583.0
1606386600000,0.003228,0.003281,0.003223,0.003273,52657715.0
1606387500000,0.00327,0.003293,0.003258,0.003283,43850326.0
1606388400000,0.003285,0.003367,0.003271,0.003356,57022774.0
1606389300000,0.003356,0.003378,0.003315,0.003325,82752616.0
1606390200000,0.003325,0.003357,0.003245,0.003253,98654842.0
1606391100000,0.003253,0.003287,0.003202,0.003238,175331043.0
1606392000000,0.003237,0.003273,0.003182,0.003259,87542874.0
1606392900000,0.003259,0.003292,0.003259,0.003288,45594668.0
1606393800000,0.003289,0.003294,0.003242,0.003277,27748140.0
1606394700000,0.003277,0.003328,0.003277,0.003326,48322666.0
1606395600000,0.003323,0.003339,0.003293,0.003309,26042171.0
